"","year_data","country","name","CD_inc","UC_inc","CD_change_inc","UC_change_inc","CD_prev","UC_prev","CD_change_prev","UC_change_prev","stage","status","decade","CD_inc_impute","UC_inc_impute","CD_prev_impute","UC_prev_impute","CD_change_inc_impute","UC_change_inc_impute","CD_change_prev_impute","UC_change_prev_impute","CD_inc_ind","UC_inc_ind","CD_prev_ind","UC_prev_ind","CD_change_inc_ind","UC_change_inc_ind","CD_change_prev_ind","UC_change_prev_ind"
"1_Algeria_Constantine_2003",2003,"Algeria","Constantine",3.45,2.76,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",3.45,2.76,19.02,12.57,2.70523487628569,1.54887750154443,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3_Algeria_Constantine_2005",2005,"Algeria","Constantine",8.86046975257138,5.85775500308886,2.70523487628569,1.54887750154443,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",8.86046975257138,5.85775500308886,19.02,12.57,2.70523487628569,1.54887750154443,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"5_Algeria_Constantine_2007",2007,"Algeria","Constantine",9.83,5.12,0.48476512371431,-0.36887750154443,19.02,12.57,NA,NA,"unclassified","unlabelled","2000-2009",9.83,5.12,19.02,12.57,0.48476512371431,-0.36887750154443,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"6_Argentina_General Pueyrredon Partido_1987",1987,"Argentina","General Pueyrredon Partido",NA,2.0189947021579,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","1980-1989",0.65,2.0189947021579,9.23964057798152,59.5326841785855,0.018,0.40379894043158,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7_Argentina_General Pueyrredon Partido_1988",1988,"Argentina","General Pueyrredon Partido",NA,2.42279364258948,NA,0.40379894043158,NA,NA,NA,NA,"unclassified","unlabelled","1980-1989",0.65,2.42279364258948,9.23964057798152,59.5326841785855,0.018,0.40379894043158,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"8_Argentina_General Pueyrredon Partido_1989",1989,"Argentina","General Pueyrredon Partido",NA,2.82659258302106,NA,0.40379894043158,NA,NA,NA,NA,"unclassified","unlabelled","1980-1989",0.65,2.82659258302106,9.23964057798152,59.5326841785855,0.018,0.40379894043158,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"9_Argentina_General Pueyrredon Partido_1990",1990,"Argentina","General Pueyrredon Partido",NA,3.23039152345264,NA,0.40379894043158,NA,NA,NA,NA,"unclassified","unlabelled","1990-1999",0.65,3.23039152345264,9.23964057798152,59.5326841785855,0.018,0.40379894043158,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"10_Argentina_General Pueyrredon Partido_1991",1991,"Argentina","General Pueyrredon Partido",NA,0.80759788086316,NA,-2.42279364258948,NA,NA,NA,NA,"unclassified","unlabelled","1990-1999",0.65,0.80759788086316,9.23964057798152,59.5326841785855,0.018,-2.42279364258948,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"11_Argentina_General Pueyrredon Partido_1992",1992,"Argentina","General Pueyrredon Partido",NA,2.42279364258948,NA,1.61519576172632,NA,NA,NA,NA,"unclassified","unlabelled","1990-1999",0.65,2.42279364258948,9.23964057798152,59.5326841785855,0.018,1.61519576172632,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"12_Argentina_General Pueyrredon Partido_1993",1993,"Argentina","General Pueyrredon Partido",NA,1.61519576172632,NA,-0.80759788086316,NA,NA,NA,NA,"unclassified","unlabelled","1990-1999",0.65,1.61519576172632,9.23964057798152,59.5326841785855,0.018,-0.80759788086316,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"36_Argentina_Cordoba_2017",2017,"Argentina","Cordoba",0.65,3,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",0.65,3,9.23964057798152,59.5326841785855,0.018,-0.322744825761831,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"38_Argentina_Cordoba_2019",2019,"Argentina","Cordoba",NA,NA,NA,NA,9.23964057798152,59.5326841785855,NA,NA,"unclassified","unlabelled","2010-2019",0.686442267544602,2.55054536694991,9.23964057798152,59.5326841785855,0.018,-0.281951826937976,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"41_Argentina_Cordoba_2022",2022,"Argentina","Cordoba",0.74,1.89,0.018,-0.222,NA,NA,NA,NA,"unclassified","unlabelled","2020-2024",0.74,1.89,9.23964057798152,59.5326841785855,0.018,-0.222,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"42_Australia_Sydney_1985",1985,"Australia","Sydney",5.05454545454545,7.03030303030303,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","1980-1989",5.05454545454545,7.03030303030303,83.4,116,-1.12450372887027,-0.767250716925444,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"49_Australia_Sydney_1992",1992,"Australia","Sydney",NA,NA,NA,NA,83.4,116,NA,NA,"unclassified","unlabelled","1990-1999",8.81194695909582,8.54285542781472,83.4,116,-1.12450372887027,-0.767250716925444,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"65_Australia_BARWON HEADS_2008",2008,"Australia","BARWON HEADS",17.4,12,NA,NA,NA,NA,NA,NA,"stage3","labelled","2000-2009",17.4,12,179.367375304497,140.007679692401,-1.12450372887027,-0.767250716925444,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"66_Australia_Geelong_2008",2008,"Australia","Geelong",17.3735111866108,11.968418817443,NA,NA,NA,NA,NA,NA,"stage3","labelled","2000-2009",17.3735111866108,11.968418817443,179.369349671584,140.008173609969,-1.12450372887027,-0.767250716925444,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"69_Australia_BARWON HEADS_2011",2011,"Australia","BARWON HEADS",14.6544614315023,9.54244000190849,-0.915179522832566,-0.819186666030503,197.324027182322,144.499805743186,NA,NA,"stage3","labelled","2010-2019",14.6544614315023,9.54244000190849,197.324027182322,144.499805743186,-0.915179522832566,-0.819186666030503,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"70_Australia_Geelong_2011",2011,"Australia","Geelong",14,9.66666666666667,-1.12450372887027,-0.767250716925444,NA,NA,NA,NA,"stage3","labelled","2010-2019",14,9.66666666666667,197.316995886185,144.498046758896,-1.12450372887027,-0.767250716925444,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"71_Australia_Melbourne_2011",2011,"Australia","Melbourne",16,14.3,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",16,14.3,197.316439429103,144.505481177011,-0.914407739864647,-0.818501457193376,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"72_Australia_Geelong_2012",2012,"Australia","Geelong",14,9.66,0,-0.00666666666666949,NA,NA,NA,NA,"stage3","labelled","2010-2019",14,9.66,188.326476498475,151.229729874363,0,-0.00666666666666949,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
