country,name,year_data,decade,data_type,CD,UC,IBD,period,indust_status,labelled_stage
Australia,Geelong,2008,2000-2009,Incidence,17.37351119,11.96841882,29.34193,1990-2019,Early,stage3
Australia,BARWON HEADS,2008,2000-2009,Incidence,17.4,12,29.4,1990-2019,Early,stage3
Australia,BARWON HEADS,2011,2010-2019,Prevalence,197.3240272,144.4998057,341.8238329,1990-2019,Early,stage3
Australia,BARWON HEADS,2011,2010-2019,Incidence,14.65446143,9.542440002,24.19690143,1990-2019,Early,stage3
Australia,Geelong,2011,2010-2019,Incidence,14,9.666666667,23.66666667,1990-2019,Early,stage3
Australia,Geelong,2012,2010-2019,Incidence,14,9.66,23.66,1990-2019,Early,stage3
Australia,Geelong,2013,2010-2019,Incidence,11,9,20,1990-2019,Early,stage3
Australia,Tasmania,2014,2010-2019,Incidence,14.42213993,14.61703372,29.03917365,1990-2019,Early,stage3
Australia,Tasmania,2014,2010-2019,Prevalence,170.3371662,164.6852465,335.0224128,1990-2019,Early,stage3
Australia,Australia,2019,2010-2019,Prevalence,306.4492285,346.598113,653.0473415,1990-2019,Early,stage3
Austria,Styria,1997,1990-1999,Incidence,5.8,3.6,9.4,1990-2019,Early,stage2
Austria,Styria,1998,1990-1999,Incidence,6.1,5.1,11.2,1990-2019,Early,stage2
Austria,Styria,1999,1990-1999,Incidence,5.2,4.5,9.7,1990-2019,Early,stage2
Austria,Styria,2000,2000-2009,Incidence,6.3,4.3,10.6,1990-2019,Early,stage3
Austria,Styria,2001,2000-2009,Incidence,6.8,4,10.8,1990-2019,Early,stage3
Austria,Styria,2002,2000-2009,Incidence,6.1,5.1,11.2,1990-2019,Early,stage3
Austria,Styria,2003,2000-2009,Incidence,7.6,5.1,12.7,1990-2019,Early,stage3
Austria,Styria,2004,2000-2009,Incidence,6.9,4.4,11.3,1990-2019,Early,stage3
Austria,Styria,2005,2000-2009,Incidence,8.1,6.1,14.2,1990-2019,Early,stage3
Austria,Styria,2006,2000-2009,Incidence,7.2,5.3,12.5,1990-2019,Early,stage3
Austria,Styria,2007,2000-2009,Incidence,6.6,4.9,11.5,1990-2019,Early,stage3
Belgium,Brussels,1993,1990-1999,Incidence,3.7,3,6.7,1990-2019,Early,stage2
Belgium,Liege,1993,1990-1999,Incidence,5.518932402,4.730513487,10.24944589,1990-2019,Early,stage2
Belgium,Liege,1994,1990-1999,Incidence,4.484132577,4.040646937,8.524779514,1990-2019,Early,stage2
Belgium,Liege,1995,1990-1999,Incidence,4.533408759,3.843542208,8.376950967,1990-2019,Early,stage2
Canada,Northern Alberta,1966,1960-1969,Incidence,1.818181818,1.25,3.068181818,1960-1989,Early,stage2
Canada,Northern Alberta,1967,1960-1969,Incidence,2.754242268,1.211866598,3.966108865,1960-1989,Early,stage2
Canada,Northern Alberta,1968,1960-1969,Incidence,2.886523286,1.817440588,4.703963874,1960-1989,Early,stage2
Canada,Northern Alberta,1969,1960-1969,Incidence,3.841872674,1.142178363,4.984051037,1960-1989,Early,stage2
Canada,Northern Alberta,1970,1970-1979,Incidence,3.128902717,2.220511606,5.349414323,1960-1989,Early,stage2
Canada,Northern Alberta,1971,1970-1979,Incidence,4.909405111,2.454702556,7.364107667,1960-1989,Early,stage2
Canada,Northern Alberta,1972,1970-1979,Incidence,4.779456748,2.485317509,7.264774257,1960-1989,Early,stage2
Canada,Northern Alberta,1973,1970-1979,Incidence,5.866824936,2.700601955,8.567426891,1960-1989,Early,stage2
Canada,Northern Alberta,1974,1970-1979,Incidence,5.991691521,3.812894604,9.804586125,1960-1989,Early,stage2
Canada,Northern Alberta,1975,1970-1979,Incidence,7.350232374,3.719394695,11.06962707,1960-1989,Early,stage2
Canada,Northern Alberta,1976,1970-1979,Incidence,9.680988383,4.235432417,13.9164208,1960-1989,Early,stage2
Canada,Northern Alberta,1977,1970-1979,Incidence,8.863771431,5.233845988,14.09761742,1960-1989,Early,stage2
Canada,Northern Alberta,1978,1970-1979,Incidence,10.3110812,5.856694119,16.16777531,1960-1989,Early,stage2
Canada,Northern Alberta,1979,1970-1979,Incidence,9.032413461,6.290430803,15.32284426,1960-1989,Early,stage2
Canada,Northern Alberta,1980,1980-1989,Incidence,10.41281007,5.048635186,15.46144526,1960-1989,Early,stage2
Canada,Northern Alberta,1981,1980-1989,Prevalence,44,37.2,81.2,1960-1989,Early,stage2
Canada,Northern Alberta,1981,1980-1989,Incidence,7.95145751,5.326704545,13.27816206,1960-1989,Early,stage2
Canada,Manitoba,1990,1990-1999,Prevalence,160.0800062,134.7682847,294.8482909,1990-2019,Early,stage3
Canada,Manitoba,1990,1990-1999,Incidence,14.81076789,15.38692607,30.19769396,1990-2019,Early,stage3
Canada,Manitoba,1991,1990-1999,Prevalence,171.7903412,145.5785065,317.3688477,1990-2019,Early,stage3
Canada,Manitoba,1991,1990-1999,Incidence,14.3,12.75,27.05,1990-2019,Early,stage3
Canada,Manitoba,1992,1990-1999,Incidence,13.115,13.25,26.365,1990-2019,Early,stage3
Canada,Manitoba,1992,1990-1999,Prevalence,182.1709717,153.3177887,335.4887604,1990-2019,Early,stage3
Canada,Manitoba,1993,1990-1999,Incidence,14.32,16.65,30.97,1990-2019,Early,stage3
Canada,Manitoba,1993,1990-1999,Prevalence,192.8347443,165.3037048,358.1384491,1990-2019,Early,stage3
Canada,Quebec,1993,1990-1999,Prevalence,82.6,,,1990-2019,Early,stage3
Canada,Manitoba,1994,1990-1999,Prevalence,199.7801317,175.8942381,375.6743699,1990-2019,Early,stage3
Canada,Alberta,1994,1990-1999,Incidence,16.5,11,27.5,1990-2019,Early,stage3
Canada,Saskatchewan,1994,1990-1999,Incidence,13.5,10.4,23.9,1990-2019,Early,stage3
Canada,Manitoba,1994,1990-1999,Incidence,12.655,16.775,29.43,1990-2019,Early,stage3
Canada,Quebec,1994,1990-1999,Prevalence,116.2,,,1990-2019,Early,stage3
Canada,Manitoba,1995,1990-1999,Incidence,11.86,14.57,26.43,1990-2019,Early,stage3
Canada,Manitoba,1995,1990-1999,Prevalence,207.8315109,189.0869537,396.9184647,1990-2019,Early,stage3
Canada,Quebec,1995,1990-1999,Prevalence,139.8,,,1990-2019,Early,stage3
Canada,Manitoba,1996,1990-1999,Incidence,13.575,11.99,25.565,1990-2019,Early,stage3
Canada,Manitoba,1996,1990-1999,Prevalence,194.4931737,177.7749753,372.268149,1990-2019,Early,stage3
Canada,Quebec,1996,1990-1999,Prevalence,169.3,,,1990-2019,Early,stage3
Canada,Nova Scotia,1996,1990-1999,Incidence,27.4,28.7,56.1,1990-2019,Early,stage3
Canada,Nova Scotia,1996,1990-1999,Prevalence,235.9503174,195.511673,431.4619904,1990-2019,Early,stage3
Canada,Manitoba,1997,1990-1999,Incidence,17.62,13.455,31.075,1990-2019,Early,stage3
Canada,Manitoba,1997,1990-1999,Prevalence,227.7617447,204.0406052,431.8023499,1990-2019,Early,stage3
Canada,Quebec,1997,1990-1999,Prevalence,187.7,,,1990-2019,Early,stage3
Canada,Nova Scotia,1997,1990-1999,Incidence,27.7,35,62.7,1990-2019,Early,stage3
Canada,British Columbia,1997,1990-1999,Prevalence,134.7911987,154.5613003,289.352499,1990-2019,Early,stage3
Canada,Nova Scotia,1997,1990-1999,Prevalence,258.1048889,222.9705048,481.0753937,1990-2019,Early,stage3
Canada,Manitoba,1998,1990-1999,Prevalence,239.1228851,213.8659622,452.9888474,1990-2019,Early,stage3
