"figure","country","year","predicted_stage","indicator","value"
"ED 3","Algeria",2000,"Stage 2","ahdi_int",0.28462865403486
"ED 3","Algeria",2001,"Stage 2","ahdi_int",0.286298860691591
"ED 3","Algeria",2002,"Stage 2","ahdi_int",0.287969067348321
"ED 3","Algeria",2003,"Stage 2","ahdi_int",0.289639274005052
"ED 3","Algeria",2004,"Stage 2","ahdi_int",0.291309480661782
"ED 3","Algeria",2005,"Stage 2","ahdi_int",0.292979687318513
"ED 3","Algeria",2006,"Stage 2","ahdi_int",0.297585835838431
"ED 3","Algeria",2007,"Stage 2","ahdi_int",0.302191984358349
"ED 3","Algeria",2008,"Stage 2","ahdi_int",0.306798132878267
"ED 3","Algeria",2009,"Stage 2","ahdi_int",0.311404281398185
"ED 3","Argentina",1980,"Stage 2","ahdi_int",0.236495068830242
"ED 3","Argentina",1981,"Stage 2","ahdi_int",0.281197008382189
"ED 3","Argentina",1982,"Stage 2","ahdi_int",0.325898947934137
"ED 3","Argentina",1983,"Stage 2","ahdi_int",0.370600887486084
"ED 3","Argentina",1984,"Stage 2","ahdi_int",0.415302827038032
"ED 3","Argentina",1985,"Stage 2","ahdi_int",0.460004766589979
"ED 3","Argentina",1986,"Stage 2","ahdi_int",0.4590232855068
"ED 3","Argentina",1987,"Stage 2","ahdi_int",0.45804180442362
"ED 3","Argentina",1988,"Stage 2","ahdi_int",0.457060323340441
"ED 3","Argentina",1989,"Stage 2","ahdi_int",0.456078842257261
"ED 3","Argentina",1990,"Stage 2","ahdi_int",0.455097361174082
"ED 3","Argentina",1991,"Stage 2","ahdi_int",0.460207364608501
"ED 3","Argentina",1992,"Stage 2","ahdi_int",0.46531736804292
"ED 3","Argentina",1993,"Stage 2","ahdi_int",0.47042737147734
"ED 3","Argentina",1994,"Stage 2","ahdi_int",0.475537374911759
"ED 3","Argentina",1995,"Stage 2","ahdi_int",0.480647378346178
"ED 3","Argentina",1996,"Stage 2","ahdi_int",0.483883316361563
"ED 3","Argentina",1997,"Stage 2","ahdi_int",0.487119254376948
"ED 3","Argentina",1998,"Stage 2","ahdi_int",0.490355192392334
"ED 3","Argentina",1999,"Stage 2","ahdi_int",0.493591130407719
"ED 3","Argentina",2010,"Stage 2","ahdi_int",0.525761432641915
"ED 3","Argentina",2011,"Stage 2","ahdi_int",0.530508804013439
"ED 3","Argentina",2012,"Stage 2","ahdi_int",0.535256175384963
"ED 3","Argentina",2013,"Stage 2","ahdi_int",0.540003546756488
"ED 3","Argentina",2014,"Stage 2","ahdi_int",0.544750918128012
"ED 3","Argentina",2015,"Stage 2","ahdi_int",0.549498289499536
"ED 3","Argentina",2016,"Stage 2","ahdi_int",0.555769467890902
"ED 3","Argentina",2017,"Stage 2","ahdi_int",0.562040646282268
"ED 3","Argentina",2018,"Stage 2","ahdi_int",0.568311824673635
"ED 3","Argentina",2019,"Stage 2","ahdi_int",0.574583003065001
"ED 3","Australia",1980,"Stage 2","ahdi_int",0.645591940359817
"ED 3","Australia",1981,"Stage 2","ahdi_int",0.650945941244588
"ED 3","Australia",1982,"Stage 2","ahdi_int",0.656299942129359
"ED 3","Australia",1983,"Stage 2","ahdi_int",0.66165394301413
"ED 3","Australia",1984,"Stage 2","ahdi_int",0.667007943898901
"ED 3","Australia",1985,"Stage 2","ahdi_int",0.672361944783672
"ED 3","Australia",1986,"Stage 2","ahdi_int",0.679520549665362
"ED 3","Australia",1987,"Stage 2","ahdi_int",0.686679154547052
"ED 3","Australia",1988,"Stage 2","ahdi_int",0.693837759428743
"ED 3","Australia",1989,"Stage 2","ahdi_int",0.700996364310433
"ED 3","Australia",1990,"Stage 3","ahdi_int",0.708154969192123
"ED 3","Australia",1991,"Stage 3","ahdi_int",0.713172007588035
"ED 3","Australia",1992,"Stage 3","ahdi_int",0.718189045983947
"ED 3","Australia",1993,"Stage 3","ahdi_int",0.72320608437986
"ED 3","Australia",1994,"Stage 3","ahdi_int",0.728223122775772
"ED 3","Australia",1995,"Stage 3","ahdi_int",0.733240161171684
"ED 3","Australia",1996,"Stage 3","ahdi_int",0.738262080042267
"ED 3","Australia",1997,"Stage 3","ahdi_int",0.74328399891285
"ED 3","Australia",1998,"Stage 3","ahdi_int",0.748305917783433
"ED 3","Australia",1999,"Stage 3","ahdi_int",0.753327836654016
"ED 3","Australia",2000,"Stage 3","ahdi_int",0.758349755524599
"ED 3","Australia",2001,"Stage 3","ahdi_int",0.765030248861828
"ED 3","Australia",2002,"Stage 3","ahdi_int",0.771710742199057
"ED 3","Australia",2003,"Stage 3","ahdi_int",0.778391235536285
"ED 3","Australia",2004,"Stage 3","ahdi_int",0.785071728873514
"ED 3","Australia",2005,"Stage 3","ahdi_int",0.791752222210743
"ED 3","Australia",2006,"Stage 3","ahdi_int",0.796376848120567
"ED 3","Australia",2007,"Stage 3","ahdi_int",0.801001474030391
"ED 3","Australia",2008,"Stage 3","ahdi_int",0.805626099940214
"ED 3","Australia",2009,"Stage 3","ahdi_int",0.810250725850038
"ED 3","Australia",2010,"Stage 3","ahdi_int",0.814875351759862
"ED 3","Australia",2011,"Stage 3","ahdi_int",0.817867441537976
"ED 3","Australia",2012,"Stage 3","ahdi_int",0.820859531316089
"ED 3","Australia",2013,"Stage 3","ahdi_int",0.823851621094203
"ED 3","Australia",2014,"Stage 3","ahdi_int",0.826843710872316
"ED 3","Australia",2015,"Stage 3","ahdi_int",0.82983580065043
"ED 3","Australia",2016,"Stage 3","ahdi_int",0.833449174568916
"ED 3","Australia",2017,"Stage 3","ahdi_int",0.837062548487402
"ED 3","Australia",2018,"Stage 3","ahdi_int",0.840675922405889
"ED 3","Australia",2019,"Stage 3","ahdi_int",0.844289296324375
"ED 3","Austria",1990,"Stage 2","ahdi_int",0.614341395504618
"ED 3","Austria",1991,"Stage 2","ahdi_int",0.618097254280515
"ED 3","Austria",1992,"Stage 2","ahdi_int",0.621853113056413
"ED 3","Austria",1993,"Stage 2","ahdi_int",0.62560897183231
"ED 3","Austria",1994,"Stage 2","ahdi_int",0.629364830608208
"ED 3","Austria",1995,"Stage 2","ahdi_int",0.633120689384105
"ED 3","Austria",1996,"Stage 2","ahdi_int",0.638599422457596
"ED 3","Austria",1997,"Stage 2","ahdi_int",0.644078155531086
"ED 3","Austria",1998,"Stage 2","ahdi_int",0.649556888604577
"ED 3","Austria",1999,"Stage 2","ahdi_int",0.655035621678067
"ED 3","Austria",2000,"Stage 3","ahdi_int",0.660514354751558
"ED 3","Austria",2001,"Stage 3","ahdi_int",0.664413445271029
"ED 3","Austria",2002,"Stage 3","ahdi_int",0.6683125357905
"ED 3","Austria",2003,"Stage 3","ahdi_int",0.67221162630997
"ED 3","Austria",2004,"Stage 3","ahdi_int",0.676110716829441
"ED 3","Austria",2005,"Stage 3","ahdi_int",0.680009807348912
"ED 3","Austria",2006,"Stage 3","ahdi_int",0.684426362752771
"ED 3","Austria",2007,"Stage 3","ahdi_int",0.68884291815663
"ED 3","Austria",2008,"Stage 3","ahdi_int",0.69325947356049
"ED 3","Austria",2009,"Stage 3","ahdi_int",0.697676028964349
"ED 3","Bahrain",1990,"Stage 2","ahdi_int",0.173582190170032
"ED 3","Bahrain",1991,"Stage 2","ahdi_int",0.175293077827104
"ED 3","Bahrain",1992,"Stage 2","ahdi_int",0.177003965484175
"ED 3","Bahrain",1993,"Stage 2","ahdi_int",0.178714853141247
"ED 3","Bahrain",1994,"Stage 2","ahdi_int",0.180425740798318
"ED 3","Bahrain",1995,"Stage 2","ahdi_int",0.18213662845539
"ED 3","Bahrain",1996,"Stage 2","ahdi_int",0.186904561410587
"ED 3","Bahrain",1997,"Stage 2","ahdi_int",0.191672494365784
"ED 3","Bahrain",1998,"Stage 2","ahdi_int",0.196440427320981
"ED 3","Bahrain",1999,"Stage 2","ahdi_int",0.201208360276178
"ED 3","Bahrain",2000,"Stage 2","ahdi_int",0.205976293231375
"ED 3","Bahrain",2001,"Stage 2","ahdi_int",0.220862236890661
"ED 3","Bahrain",2002,"Stage 2","ahdi_int",0.235748180549947
"ED 3","Bahrain",2003,"Stage 2","ahdi_int",0.250634124209233
"ED 3","Bahrain",2004,"Stage 2","ahdi_int",0.265520067868519
"ED 3","Bahrain",2005,"Stage 2","ahdi_int",0.280406011527805
"ED 3","Bahrain",2006,"Stage 2","ahdi_int",0.28162981095876
"ED 3","Bahrain",2007,"Stage 2","ahdi_int",0.282853610389716
"ED 3","Bahrain",2008,"Stage 2","ahdi_int",0.284077409820671
"ED 3","Bahrain",2009,"Stage 2","ahdi_int",0.285301209251627
"ED 3","Bahrain",2010,"Stage 2","ahdi_int",0.286525008682582
"ED 3","Bahrain",2011,"Stage 2","ahdi_int",0.284933529565982
"ED 3","Bahrain",2012,"Stage 2","ahdi_int",0.283342050449382
"ED 3","Bahrain",2013,"Stage 2","ahdi_int",0.281750571332781
"ED 3","Bahrain",2014,"Stage 2","ahdi_int",0.280159092216181
"ED 3","Bahrain",2015,"Stage 2","ahdi_int",0.278567613099581
"ED 3","Bahrain",2016,"Stage 2","ahdi_int",0.283028508307391
"ED 3","Bahrain",2017,"Stage 2","ahdi_int",0.287489403515201
"ED 3","Bahrain",2018,"Stage 2","ahdi_int",0.291950298723012
"ED 3","Bahrain",2019,"Stage 2","ahdi_int",0.296411193930822
"ED 3","Barbados",1980,"Stage 2","ahdi_int",0.4740526321479
"ED 3","Barbados",1981,"Stage 2","ahdi_int",0.477732234785907
"ED 3","Barbados",1982,"Stage 2","ahdi_int",0.481411837423913
"ED 3","Barbados",1983,"Stage 2","ahdi_int",0.48509144006192
"ED 3","Barbados",1984,"Stage 2","ahdi_int",0.488771042699926
"ED 3","Barbados",1985,"Stage 2","ahdi_int",0.492450645337933
"ED 3","Barbados",1986,"Stage 2","ahdi_int",0.493334743636871
"ED 3","Barbados",1987,"Stage 2","ahdi_int",0.494218841935809
"ED 3","Barbados",1988,"Stage 2","ahdi_int",0.495102940234747
"ED 3","Barbados",1989,"Stage 2","ahdi_int",0.495987038533685
"ED 3","Barbados",1990,"Stage 2","ahdi_int",0.496871136832623
"ED 3","Barbados",1991,"Stage 2","ahdi_int",0.499664025640915
"ED 3","Barbados",1992,"Stage 2","ahdi_int",0.502456914449208
"ED 3","Barbados",1993,"Stage 2","ahdi_int",0.5052498032575
"ED 3","Barbados",1994,"Stage 2","ahdi_int",0.508042692065793
"ED 3","Barbados",1995,"Stage 2","ahdi_int",0.510835580874085
"ED 3","Barbados",1996,"Stage 2","ahdi_int",0.512160684968709
"ED 3","Barbados",1997,"Stage 2","ahdi_int",0.513485789063333
"ED 3","Barbados",1998,"Stage 2","ahdi_int",0.514810893157957
"ED 3","Barbados",1999,"Stage 2","ahdi_int",0.516135997252581
"ED 3","Barbados",2000,"Stage 2","ahdi_int",0.517461101347205
"ED 3","Barbados",2001,"Stage 2","ahdi_int",0.52089513742362
"ED 3","Barbados",2002,"Stage 2","ahdi_int",0.524329173500035
"ED 3","Barbados",2003,"Stage 2","ahdi_int",0.527763209576449
"ED 3","Barbados",2004,"Stage 2","ahdi_int",0.531197245652864
"ED 3","Barbados",2005,"Stage 2","ahdi_int",0.534631281729279
"ED 3","Barbados",2006,"Stage 2","ahdi_int",0.536974777888993
"ED 3","Barbados",2007,"Stage 2","ahdi_int",0.539318274048708
"ED 3","Barbados",2008,"Stage 2","ahdi_int",0.541661770208422
"ED 3","Barbados",2009,"Stage 2","ahdi_int",0.544005266368137
"ED 3","Belgium",1990,"Stage 2","ahdi_int",0.598045761641838
"ED 3","Belgium",1991,"Stage 2","ahdi_int",0.602507188752243
"ED 3","Belgium",1992,"Stage 2","ahdi_int",0.606968615862648
"ED 3","Belgium",1993,"Stage 2","ahdi_int",0.611430042973052
"ED 3","Belgium",1994,"Stage 2","ahdi_int",0.615891470083457
"ED 3","Belgium",1995,"Stage 2","ahdi_int",0.620352897193862
"ED 3","Belgium",1996,"Stage 2","ahdi_int",0.625438043446198
"ED 3","Belgium",1997,"Stage 2","ahdi_int",0.630523189698533
"ED 3","Belgium",1998,"Stage 2","ahdi_int",0.635608335950869
"ED 3","Belgium",1999,"Stage 2","ahdi_int",0.640693482203204
"ED 3","Brazil",1980,"Stage 1","ahdi_int",0.234257136744221
"ED 3","Brazil",1981,"Stage 1","ahdi_int",0.246730843606045
"ED 3","Brazil",1982,"Stage 1","ahdi_int",0.259204550467868
"ED 3","Brazil",1983,"Stage 1","ahdi_int",0.271678257329692
"ED 3","Brazil",1984,"Stage 1","ahdi_int",0.284151964191515
"ED 3","Brazil",1985,"Stage 1","ahdi_int",0.296625671053339
"ED 3","Brazil",1986,"Stage 1","ahdi_int",0.31903407486239
"ED 3","Brazil",1987,"Stage 1","ahdi_int",0.341442478671441
"ED 3","Brazil",1988,"Stage 1","ahdi_int",0.363850882480493
"ED 3","Brazil",1989,"Stage 1","ahdi_int",0.386259286289544
"ED 3","Brazil",1990,"Stage 1","ahdi_int",0.408667690098595
"ED 3","Brazil",1991,"Stage 1","ahdi_int",0.413751659360951
"ED 3","Brazil",1992,"Stage 1","ahdi_int",0.418835628623308
"ED 3","Brazil",1993,"Stage 1","ahdi_int",0.423919597885664
"ED 3","Brazil",1994,"Stage 1","ahdi_int",0.429003567148021
"ED 3","Brazil",1995,"Stage 1","ahdi_int",0.434087536410377
"ED 3","Brazil",1996,"Stage 1","ahdi_int",0.438385552392588
"ED 3","Brazil",1997,"Stage 1","ahdi_int",0.442683568374798
"ED 3","Brazil",1998,"Stage 1","ahdi_int",0.446981584357009
"ED 3","Brazil",1999,"Stage 1","ahdi_int",0.451279600339219
"ED 3","Brazil",2000,"Stage 2","ahdi_int",0.45557761632143
"ED 3","Brazil",2001,"Stage 2","ahdi_int",0.461467415229545
