"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Algeria","2000-2009",3.45,9.83,3.45,6.155234876,8.860469753,9.345234876,9.83,8.86046975257138
"Argentina","2010-2019",0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
"Australia","1980-1989",5.05454545454545,5.05454545454545,5.054545455,5.054545455,5.054545455,5.054545455,5.054545455,5.05454545454545
"Australia","2000-2009",17.3735111866108,17.4,17.373511187,17.38013339,17.386755593,17.393377797,17.4,17.3867555933054
"Australia","2010-2019",11,16,11,13.777143935,14,14.538300683,16,14
"Austria","1990-1999",5.2,6.1,5.2,5.5,5.8,5.95,6.1,5.8
"Austria","2000-2009",6.1,8.1,6.1,6.525,6.85,7.3,8.1,6.85
"Bahrain","1990-1999",5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"Bahrain","2000-2009",4.8,6,4.8,5.1,5.4,5.7,6,5.4
"Bahrain","2010-2019",8,8,8,8,8,8,8,8
"Barbados","1980-1989",0.314949222311633,0.54250108500217,0.314949222,0.371837188,0.428725154,0.485613119,0.542501085,0.428725153656902
"Barbados","1990-1999",0.67115395227648,1.36934508028546,0.671153952,0.845701734,1.020249516,1.194797298,1.36934508,1.02024951628097
"Barbados","2000-2009",0.658355778388667,0.658355778388667,0.658355778,0.658355778,0.658355778,0.658355778,0.658355778,0.658355778388667
"Belgium","1990-1999",3.44933275121737,5.51893240194779,3.449332751,3.900145037,4.516994453,5.272551491,5.518932402,4.50056351492117
"Bosnia and Herzegovina","1990-1999",0.2,1.61199322962844,0.2,0.201499154,0.401499154,1.407870557,1.61199323,0.401499153703554
"Bosnia and Herzegovina","2000-2009",1.4,6.44797291851374,1.4,2.204122673,3.011243653,4.757495769,6.447972919,3.01124365277666
"Brazil","1980-1989",0,0.858708159444931,0,0.08,0.24,0.403528453,0.858708159,0.24
"Brazil","1990-1999",0,1.48,0,0.07,0.21905997,0.636399506,1.48,0.219059969857348
"Brazil","2000-2009",0.12,3.5,0.12,0.3425,0.557480787,0.98312197,3.5,0.557480786700756
"Brazil","2010-2019",0.311858740464919,6.83,0.31185874,1.21,2.618557,3.220802722,6.83,2.47976595147191
"Brunei","2000-2009",0,0.547777120445233,0,0.067519756,0.395522657,0.530276775,0.54777712,0.395522656697119
"Brunei","2010-2019",0,0.714641333425443,0,0,0.244034575,0.489253546,0.714641333,0.244626772932537
"Canada","1960-1969",1.81818181818182,3.84187267410952,1.818181818,2.520227155,2.820382777,3.125360633,3.841872674,2.82038277680164
"Canada","1970-1979",3.12890271736791,10.3110811952275,3.128902717,5.148760067,6.670961947,8.990252953,10.311081195,6.6709619473511
"Canada","1980-1989",7.95145750988142,18.2878895957376,7.95145751,10.41281007,15.76266708,18.284376914,18.287889596,15.7626670797154
"Canada","1990-1999",8.8,37.38048,8.8,12.66,14.64,16.830179334,37.38048,15.3530998706043
"Canada","2000-2009",1,32.2790280688133,1,11.252377941,13.532964495,18.2217125,32.279028069,13.7352591412238
"Canada","2010-2019",1,28.8362669175928,1,11.642569989,13.122930324,14.628802035,28.836266918,13.2419311446668
"Catalonia","1970-1979",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Catalonia","1980-1989",0.4,0.7,0.4,0.475,0.55,0.625,0.7,0.55
"Catalonia","2010-2019",9.08800837959613,18.5191320816824,9.08800838,11.444284681,15.690569732,18.224073048,18.519132082,15.6905697322921
"China","1970-1979",0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848
"China","1990-1999",0,0.0047705371624845,0,0.001192634,0.002385269,0.003577903,0.004770537,0.00238526858124225
"China","2000-2009",0.00235804565176382,0.0371909866549989,0.002358046,0.013620165,0.015911406,0.027733753,0.037190987,0.01591140586299
"China","2010-2019",0.0434631432545202,2.280702,0.043463143,0.11385965,0.4,0.98,2.280702,0.41929825
"Colombia","2010-2019",0.5,1.3,0.5,0.8,0.8,0.925,1.3,0.8
"Croatia","1970-1979",0.173913043478261,1.04347826086957,0.173913043,0.347826087,0.347826087,0.695652174,1.043478261,0.347826086956522
"Croatia","1980-1989",0.170212765957447,2.60869565217391,0.170212766,0.595744681,0.808510638,1.392229417,2.608695652,0.808510638297873
"Croatia","1990-1999",0,4.49,0,0.5,2.434782609,3.06326087,4.49,2.43478260869565
"Croatia","2000-2009",0,15.9,0,1,5.5,6.2,15.9,5.5
"Croatia","2010-2019",1.5,9.2,1.5,1.875,2.574323828,4.661485742,9.2,2.57432382791591
"Cyprus","2010-2019",5,6.3,5,5.622527999,6.245055997,6.272527999,6.3,5.63626399933386
"Czech Republic","2000-2009",12.8,14.5,12.8,13.3,13.8,14.15,14.5,13.8
"Czech Republic","2010-2019",3.84766190411627,22.7,3.847661904,5.546899778,16.3,20.275,22.7,16.4
"Denmark","1960-1969",0,2.54545454545455,0,0.546103281,0.769627423,1.030744085,2.545454545,0.767443433573634
"Denmark","1970-1979",0,8.99627727353348,0,2.05,2.9,3.55,8.996277274,3.05
"Denmark","1980-1989",2.416107,8.9694360169783,2.416107,4.110235712,5.088038857,5.771812,8.969436017,4.85
"Denmark","1990-1999",5.12670162436337,13.4759434271152,5.126701624,7.405754523,9.186047,10.778843834,13.475943427,8.791946
"Denmark","2000-2009",7.516779,18.0713832118414,7.516779,10.1006695,12.021740161,12.933237765,18.071383212,10.6357457667419
"Denmark","2010-2019",3.8,20.0805835141248,3.8,12.61745,14.573651053,15.84145182,20.080583514,14.0229255106223
"England","1950-1959",0.5,2.3,0.5,0.8,1.5,2.15,2.3,1.5
"England","1960-1969",0.3,3.6,0.3,0.9,1.666666667,2.2,3.6,1.78333333333333
"England","1970-1979",0,10.4,0,2.666666667,4.333333333,5.5,10.4,4.2
"England","1980-1989",1.21951219512195,11,1.219512195,4.268292683,5.357142857,6.211890244,11,5.35714285714286
"England","1990-1999",8.3,8.4375,8.3,8.334375,8.36875,8.403125,8.4375,8.36875
"England","2000-2009",18.7,19.5,18.7,18.7,18.95,19.275,19.5,18.95
"England","2010-2019",2.6135864678947,18.7,2.613586468,15.437890237,17.9,18.325,18.7,17.9
"Estonia","1980-1989",0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
"Estonia","1990-1999",1.43202402275376,1.43202402275376,1.432024023,1.432024023,1.432024023,1.432024023,1.432024023,1.43202402275376
"Estonia","2010-2019",5.15302774733674,5.15302774733674,5.153027747,5.153027747,5.153027747,5.153027747,5.153027747,5.15302774733674
"Faroe Islands","1960-1969",0.819414664791118,0.819414664791118,0.819414665,0.819414665,0.819414665,0.819414665,0.819414665,0.819414664791118
"Faroe Islands","1970-1979",0.731261425959781,1.94,0.731261426,0.752046896,0.772832366,1.356416183,1.94,0.772832366219497
"Faroe Islands","1980-1989",3.53970554074533,4.69750363017261,3.539705541,3.593259719,3.796639922,4.161002458,4.69750363,4.20424937928546
"Faroe Islands","1990-1999",5.60062845727536,5.83367543158395,5.600628457,5.609120918,5.617613379,5.725644405,5.833675432,5.66313643117425
"Faroe Islands","2000-2009",9.2632359009339,9.68429207824908,9.263235901,9.368499945,9.47376399,9.579028034,9.684292078,9.47376398959149
"Faroe Islands","2010-2019",8.77460545613324,11.1,8.774605456,10.190217391,10.5,10.511654797,11.1,10.3451086956522
"Finland","1970-1979",0.784313725490196,1.83006535947712,0.784313725,0.91503268,1.437908497,1.437908497,1.830065359,1.43790849673203
"Finland","1980-1989",2.22222222222222,6.7,2.222222222,3.202614379,3.790849673,5.85,6.7,3.66013071895425
"Finland","1990-1999",4.2,11.7,4.2,5.35,7.7,9.3,11.7,7.25
"Finland","2000-2009",7.54663812712129,10.3448651356266,7.546638127,8.467867699,8.7,9.4,10.344865136,8.8383402416126
"Finland","2010-2019",4.40922507869242,12.705210873923,4.409225079,9.364582834,10.307482812,11.083578745,12.705210874,10.307482812181
"France","1980-1989",4.56492783787403,6.17582417582418,4.564927838,5.144261903,5.3,5.475,6.175824176,5.16082130631234
"France","1990-1999",2.40831128868393,9.5,2.408311289,5.8,6.1,6.599910108,9.5,5.99943455530254
"France","2000-2009",3.84325662193116,12.700619015273,3.843256622,6.9,7.25,7.680972746,12.700619015,7.15
"France","2010-2019",11.1522348927432,12.54199558305,11.152234893,11.778268257,12.321620555,12.353250015,12.541995583,12.3374352851386
"Germany","1960-1969",0.6,2.5,0.6,0.614218713,1.278437426,2.319950371,2.5,1.27843742610158
"Germany","1970-1979",0.8,6.5,0.8,1.7,3.242008536,3.7,6.5,3.24200853584182
"Germany","1980-1989",3,5.6,3,4.075,4.5,4.85,5.6,4.5
"Germany","1990-1999",4.10149331643021,4.2,4.101493316,4.126119987,4.150746658,4.175373329,4.2,4.15074665821511
"Germany","2000-2009",5.14233241505969,5.14233241505969,5.142332415,5.142332415,5.142332415,5.142332415,5.142332415,5.14233241505969
"Greece","1980-1989",0.384261502761346,0.539975314337839,0.384261503,0.4,0.5,0.5,0.539975314,0.5
"Greece","1990-1999",0.587794649154943,4.7,0.587794649,0.9,1.2,3.019939148,4.7,1.2
"Greece","2000-2009",2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
"Greece","2010-2019",3.0683317480286,3.6,3.068331748,3.284165874,3.5,3.55,3.6,3.44208293700715
"Greenland","2010-2019",0,0,0,0,0,0,0,0
"Guadeloupe and Martinique","1990-1999",1.26315855955714,2.70984942852772,1.26315856,1.60642373,1.9496889,2.329769164,2.709849429,1.94968890017219
"Hong Kong","1980-1989",0.01,0.3,0.01,0.07,0.13,0.215,0.3,0.13
"Hong Kong","1990-1999",0.12,0.93,0.12,0.181345177,0.24,0.4,0.93,0.275
"Hong Kong","2000-2009",0.144883686169379,1.06,0.144883686,0.235998618,0.455,0.904338735,1.06,0.66
"Hong Kong","2010-2019",0.941970389874408,3.35958904109589,0.94197039,1.074324324,1.222567568,1.4225,3.359589041,1.22256756756757
"Hungary","1970-1979",0.4,0.41,0.4,0.4025,0.405,0.4075,0.41,0.405
"Hungary","1980-1989",0.78,2.3,0.78,0.8,1.985564635,2.26,2.3,1.98556463486009
"Hungary","1990-1999",3,4.7,3,3.0525,3.875,4.685,4.7,3.8625
"Hungary","2000-2009",6.484211,11.2,6.484211,8.2,8.592578687,9.417544,11.2,8.6
"Hungary","2010-2019",7.719298,14.82105,7.719298,8.915650577,11.34737,12.58246,14.82105,9.726316
"Iceland","1950-1959",0.3,0.7,0.3,0.35,0.4,0.55,0.7,0.4
"Iceland","1960-1969",0.3,0.7,0.3,0.375,0.45,0.575,0.7,0.45
"Iceland","1970-1979",0.7,1,0.7,0.8,0.9,1,1,0.9
"Iceland","1980-1989",2.7,3.5,2.7,2.7,3.122190029,3.5,3.5,3.12219002897392
"Iceland","1990-1999",3.49357182783678,8.4564970882743,3.493571828,4.593095711,6.472491909,7.536652875,8.456497088,6.47249190938511
"Iceland","2000-2009",6.02352677492672,6.6806567478563,6.023526775,6.187809268,6.352091761,6.516374255,6.680656748,6.35209176139151
