"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Algeria","2000-2009",19.02,19.02,19.02,19.02,19.02,19.02,19.02,19.02
"Argentina","2010-2019",9.23964057798152,9.23964057798152,9.239641,9.239641,9.239641,9.239641,9.239641,9.23964057798152
"Australia","1990-1999",83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4
"Australia","2010-2019",170.337166244397,306.449228544333,170.3372,182.1904,191.7328,224.6053,306.4492,191.732781424995
"Barbados","2000-2009",16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
"Bosnia and Herzegovina","2000-2009",28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2
"Brazil","1990-1999",0.24,0.9,0.24,0.405,0.57,0.735,0.9,0.57
"Brazil","2000-2009",2.32,15.2314602500277,2.32,4.65679,7.46786,10.93287,15.23146,7.46785990088246
"Brazil","2010-2019",2.76,31.8,2.76,10.74,15.84,24.27837,31.8,15.84
"Canada","1980-1989",44,153.308925217999,44,107.4044,135.2016,144.7252,153.3089,135.201586711941
"Canada","1990-1999",82.6,293.542938232422,82.6,168.769,191.0465,217.2559,293.5429,180.845872241384
"Canada","2000-2009",27.74775,510.867526177564,27.74775,221.6217,259.1105,293.1327,510.8675,255.108389867279
"Canada","2010-2019",52.25225,625.726466654007,52.25225,288.4309,328.7445,364.9172,625.7265,316.249004354003
"Catalonia","2010-2019",122.242361615446,219.093099322956,122.2424,136.5295,161.1,184.8468,219.0931,165.414742791318
"China","1990-1999",0.00482648776485352,0.00954107432496899,0.004826488,0.006005134,0.007183781,0.008362428,0.009541074,0.00718378104491125
"China","2000-2009",0.0117902282588191,2.29,0.01179023,0.04130533,0.07864462,0.1478968,2.29,0.0786446162142729
"China","2010-2019",0.243393602225313,3.5,0.2433936,0.3293647,1.059107,2.55,3.5,1.05910681517518
"Colombia","2000-2009",6.59833721902081,6.59833721902081,6.598337,6.598337,6.598337,6.598337,6.598337,6.59833721902081
"Colombia","2010-2019",4.8,17,4.8,5.3,6.1,7.6,17,6.45
