"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Algeria","2000-2009",2.76,5.85775500308886,2.76,3.94,5.12,5.4888775,5.857755,5.12
"Argentina","1980-1989",2.0189947021579,2.82659258302106,2.0189947,2.22089417,2.42279364,2.62469311,2.82659258,2.42279364258948
"Argentina","1990-1999",0.807597880863161,3.23039152345264,0.80759788,1.41329629,2.0189947,2.62469311,3.23039152,2.0189947021579
"Argentina","2010-2019",3,3,3,3,3,3,3,3
"Australia","1980-1989",7.03030303030303,7.03030303030303,7.03030303,7.03030303,7.03030303,7.03030303,7.03030303,7.03030303030303
"Australia","2000-2009",11.968418817443,12,11.96841882,11.97631411,11.98420941,11.9921047,12,11.9842094087215
"Australia","2010-2019",9,19.4474565084154,9,9.60122,9.66666667,14.45851686,19.44745651,9.66666666666667
"Austria","1990-1999",3.6,5.1,3.6,4.05,4.5,4.8,5.1,4.5
"Austria","2000-2009",4,6.1,4,4.375,5,5.15,6.1,5
"Barbados","1980-1989",1.18105958366862,1.70500341000682,1.18105958,1.31204554,1.4430315,1.57401745,1.70500341,1.44303149683772
"Barbados","1990-1999",2.16260717955755,2.28224180047577,2.16260718,2.19251583,2.22242449,2.25233315,2.2822418,2.22242449001666
"Barbados","2000-2009",1.82876605107963,1.82876605107963,1.82876605,1.82876605,1.82876605,1.82876605,1.82876605,1.82876605107963
"Belgium","1990-1999",3,4.73051348738382,3,3.62179939,4.10635928,4.49235066,4.73051349,4.07350310765542
"Bosnia and Herzegovina","1990-1999",0.201499153703554,3.82848392036753,0.20149915,1.00749577,1.81349238,2.619489,3.82848392,1.81349238333199
"Bosnia and Herzegovina","2000-2009",2.41798984444265,8.26146530184573,2.41798984,3.62698477,5.6419763,6.75022165,8.2614653,5.64197630369952
"Brazil","1980-1989",0,0.74,0,0,0,0.45871139,0.74,0
"Brazil","1990-1999",0,7.18,0,0.01,0.14,0.46872986,7.18,0.14
"Brazil","2000-2009",0.06,6.23,0.06,0.52696739,0.835,1.04013881,6.23,0.835
"Brazil","2010-2019",0.15592937023246,10.43,0.15592937,2.4175,4.734897,5.65531683,10.43,4.76186252495459
"Brunei","2000-2009",0,0.800070406195745,0,0.26491616,0.41299616,0.72995779,0.80007041,0.412996157166701
"Brunei","2010-2019",0,1.48362816321888,0,0.24462677,0.2540089,1.02924603,1.48362816,0.723041401350641
"Canada","1960-1969",1.1421783625731,1.81744058751084,1.14217836,1.19444454,1.2309333,1.39186015,1.81744059,1.23093329886247
"Canada","1970-1979",2.220511605874,6.2904308031106,2.22051161,2.53913862,3.76614465,4.9842426,6.2904308,3.76614464970549
"Canada","1980-1989",5.04863518562151,15.3070986670068,5.04863519,5.32670455,12.5558645,14.26181399,15.30709867,12.5558644985661
"Canada","1990-1999",9.9,36.84263,9.9,12.9,14.98119373,17.8,36.84263,14.9064418404879
"Canada","2000-2009",3,33.9,3,10.79107311,14.26328701,17.00872969,33.9,14.9412120770967
"Canada","2010-2019",0,24.7317979804842,0,10.7793825,15.44988872,19.10776966,24.73179798,17.5495753716969
"Catalonia","1970-1979",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"Catalonia","1980-1989",0.6,0.8,0.6,0.65,0.7,0.75,0.8,0.7
"Catalonia","2010-2019",15.4349776285967,26.5405990453994,15.43497763,18.18348252,22.20050151,25.58685991,26.54059905,22.2005015142958
"China","1990-1999",0.0675708287079492,0.104951817574659,0.06757083,0.07691608,0.08626132,0.09560657,0.10495182,0.0862613231413041
"China","2000-2009",0.195717789096397,0.573178735506454,0.19571779,0.29634683,0.34394668,0.41825993,0.57317874,0.343946680753824
"China","2010-2019",0.43,22.89474,0.43,1.01578948,2.06860012,4.4,22.89474,2.1337938651774
"Colombia","2010-2019",4.4,7.8,4.4,5.425,6.1,6.825,7.8,6.1
"Croatia","1960-1969",0,0.4,0,0,0,0.2,0.4,0
"Croatia","1970-1979",0,0.4,0,0,0,0,0.4,0
"Croatia","1980-1989",0,1.95744680851064,0,0,0.66808511,1.55319149,1.95744681,0.668085106382978
"Croatia","1990-1999",0,4.12,0,0.75,1.5,2.515,4.12,1.5
"Croatia","2000-2009",1,11.6,1,2,4.3,6.5,11.6,5
"Croatia","2010-2019",3.14864765583182,7.3,3.14864766,5.06216191,6.35,7.075,7.3,6.35
"Cyprus","2010-2019",4.99604479786835,5.4,4.9960448,5.0980224,5.2,5.3,5.4,5.24901119946709
"Czech Republic","2000-2009",16.6,19.3,16.6,17.3,18,18.65,19.3,18
"Czech Republic","2010-2019",3.84766190411627,27.6,3.8476619,6.75127973,20.65,25.075,27.6,20.9
"Denmark","1960-1969",4.2,9.6,4.2,6.075,7.64382269,8.6266101,9.6,7.55
"Denmark","1970-1979",0.0199698933887272,11.2,0.01996989,6.5,8.18878973,9.119295,11.2,8.15
"Denmark","1980-1989",6.1,15.710671185846,6.1,7.4,9.1,10.1,15.71067119,9.46432534025356
"Denmark","1990-1999",9.5,26.7442486391269,9.5,13.10190098,19.78299015,21.01418602,26.74424864,15.63758
"Denmark","2000-2009",12.379976131406,36.4674446235459,12.37997613,24.13468843,27.76569985,30.23256,36.46744462,25.013292903454
"Denmark","2010-2019",11.5,37.7575533559652,11.5,22.214765,28.8747093,30.64333106,37.75755336,26.682695887861
"England","1950-1959",4.3,8,4.3,4.975,6.05,7.175,8,6.05
"England","1960-1969",9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7
"England","1970-1979",0,6.47482014388489,0,2.87769784,3.65853659,4.76618705,6.47482014,3.65853658536585
"England","1980-1989",3.04878048780488,8.99280575539568,3.04878049,4.30448324,5.75539568,6.53294438,8.99280576,5.75539568345324
"England","1990-1999",6.66666666666667,13.9,6.66666667,9.16666667,10.37037037,11.53055556,13.9,10.3703703703703
"England","2000-2009",32.1,34.7,32.1,33,33.35,33.725,34.7,33.35
"England","2010-2019",9.74348777092861,40.6,9.74348777,28.61241767,34.7,37.375,40.6,34.7
"Estonia","1980-1989",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"Estonia","1990-1999",1.7624911049277,1.7624911049277,1.7624911,1.7624911,1.7624911,1.7624911,1.7624911,1.7624911049277
"Estonia","2010-2019",5.15302774733674,5.15302774733674,5.15302775,5.15302775,5.15302775,5.15302775,5.15302775,5.15302774733674
"Faroe Islands","1960-1969",2.1462566601027,3.82393510235855,2.14625666,2.56567627,2.98509588,3.40451549,3.8239351,2.98509588123063
"Faroe Islands","1970-1979",6.18265892975598,8.63164456805812,6.18265893,6.58781558,7.8,8.5313833,8.63164457,7.8
"Faroe Islands","1980-1989",12.8094277388158,22.9055265506647,12.80942774,18.33333333,19.68961207,19.68961207,22.90552655,19.2375191580417
"Faroe Islands","1990-1999",26.7791638818067,30.6808115290711,26.77916388,28.51392565,30.24868742,30.46474948,30.68081153,28.6219566789281
"Faroe Islands","2000-2009",28.6318200574321,28.8423481460896,28.63182006,28.68445208,28.7370841,28.78971612,28.84234815,28.7370841017608
"Faroe Islands","2010-2019",57.243854642393,73.7,57.24385464,57.74456522,70.9,72,73.7,64.5972826086957
"Finland","1960-1969",4.85980656662294,4.85980656662294,4.85980657,4.85980657,4.85980657,4.85980657,4.85980657,4.85980656662294
"Finland","1980-1989",11.4,16,11.4,14.2,14.5,14.9,16,14.625
"Finland","1990-1999",14.7,21.2,14.7,16.8,18,19.65,21.2,17.85
"Finland","2000-2009",20.3468747527624,28.2167728346103,20.34687475,22.1,24.70335393,26.2994851,28.21677283,24.7239770939344
"Finland","2010-2019",21.8011684446459,33.2109144638872,21.80116844,29.35704988,30.15486993,31.64351677,33.21091446,30.154869929253
"France","1980-1989",3.44110413659854,4.54945054945055,3.44110414,3.92876759,4.4,4.4,4.54945055,4.16438379691241
"France","1990-1999",2.28789572424973,6.7,2.28789572,3.28247414,3.99858521,4.33646558,6.7,3.91655466763008
"France","2000-2009",3.4,12.8356374857109,3.4,4.3,4.54444444,7.1,12.83563749,4.4
"France","2010-2019",9.33798221884291,12.6626606762822,9.33798222,11.03746061,12.31824988,12.65553469,12.66266068,12.4868922857458
"Germany","1960-1969",4,6.9,4,4.575,5.39492497,5.85,6.9,5.39492496506517
"Germany","1970-1979",0.6,4.8,0.6,0.9,1.25,3.55,4.8,1.25
"Germany","1980-1989",1.4,2.8125,1.4,1.74627093,1.8,2,2.8125,1.8
"Germany","1990-1999",2.35435524742415,4.2,2.35435525,2.81576644,3.27717762,3.73858881,4.2,3.27717762371207
"Germany","2000-2009",3.61187633914907,3.61187633914907,3.61187634,3.61187634,3.61187634,3.61187634,3.61187634,3.61187633914907
"Greece","1980-1989",1.34089598669831,5.95360159821127,1.34089599,3.1,3.6,4.5,5.9536016,3.5718724849551
"Greece","1990-1999",3.08409821824792,19,3.08409822,5.10536399,6.64449826,10.69577163,19,6.53093447737764
"Greece","2000-2009",3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
"Greece","2010-2019",3.6,6.7,3.6,4.86833175,6.1366635,6.41833175,6.7,5.0091658740143
"Greenland","2010-2019",24,24,24,24,24,24,24,24
"Guadeloupe and Martinique","1990-1999",2.13158006925267,2.79726392622216,2.13158007,2.28953094,2.44748181,2.62237287,2.79726393,2.44748181085446
"Hong Kong","1980-1989",0.09,2.5,0.09,0.3,0.32,0.68,2.5,0.5
"Hong Kong","1990-1999",0.063,6,0.063,0.3475,0.69480592,1.7375,6,0.86
"Hong Kong","2000-2009",0.281402396985618,8,0.2814024,0.56537199,0.77204904,1.2475,8,1.13494660260276
"Hong Kong","2010-2019",1.20362883150619,1.75,1.20362883,1.45945946,1.51351351,1.66,1.75,1.54560810810811
"Hungary","1970-1979",1.6,1.66,1.6,1.615,1.63,1.645,1.66,1.63
"Hungary","1980-1989",3.2,6.37,3.2,3.28,5.13454605,6.3,6.37,5.13454604795852
"Hungary","1990-1999",8.6,11.75,8.6,8.615,10.16,11.7125,11.75,10.1675
"Hungary","2000-2009",9.62963,14.9,9.62963,10.4,11.55556,13.62963,14.9,11.97778
"Hungary","2010-2019",9.407407,21.7,9.407407,10.4074075,11.18790637,11.975,21.7,11.2783771221034
"Iceland","1950-1959",2,7.7106947335955,2,2.21968704,3.22037509,3.68518755,7.71069473,3.23518754717805
"Iceland","1960-1969",4.6,5.60056785504454,4.6,4.60473689,4.64131035,4.69091828,5.60056786,4.63183656461671
"Iceland","1970-1979",5.23899335124117,10.4421719717701,5.23899335,5.4,7.4,9.6,10.44217197,7.4
