"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Algeria","2000-2009",12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57
"Argentina","2010-2019",59.5326841785855,59.5326841785855,59.5326842,59.5326842,59.5326842,59.5326842,59.5326842,59.5326841785855
"Australia","1990-1999",116,116,116,116,116,116,116,116
"Australia","2010-2019",144.499805743186,346.598112961254,144.4998057,159.6388863,195.8435597,256.9009328,346.598113,195.843559653043
"Barbados","2000-2009",44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3
"Bosnia and Herzegovina","2000-2009",43.1208188925607,43.1208188925607,43.1208189,43.1208189,43.1208189,43.1208189,43.1208189,43.1208188925607
"Brazil","1990-1999",0.99,4.77,0.99,1.935,2.88,3.825,4.77,2.88
"Brazil","2000-2009",8.8,16.95,8.8,10.915,13.3429504,15.5369257,16.95,13.342950449742
"Brazil","2010-2019",6.16,59.8747187238464,6.16,17.4042495,28.3112086,42.99,59.8747187,28.3112086437579
"Canada","1980-1989",37.2,123.011078275807,37.2,83.763125,105.0847591,113.9167833,123.0110783,105.084759148535
"Canada","1990-1999",51.069454458063,275.966709136962,51.0694545,136.6570129,168.7286425,193.4569771,275.9667091,159.807032415005
"Canada","2000-2009",37.11712,474.753021240235,37.11712,176.2916643,224.2,256.3629074,474.7530212,222.141653840593
"Canada","2010-2019",77.83784,528.481666433641,77.83784,275.6958911,292.3293233,323.4279966,528.4816664,305.209533619093
"Catalonia","2010-2019",268.361079218906,353.918165839009,268.3610792,282.836848,305.7905492,331.7416711,353.9181658,305.790549229023
"China","1990-1999",0.241324388242676,0.343478675698884,0.2413244,0.266863,0.2924015,0.3179401,0.3434787,0.29240153197078
"China","2000-2009",0.535276362950387,3.85911179173047,0.5352764,1.1574245,1.8762216,2.7351149,3.8591118,1.87622159417452
"China","2010-2019",4.46801112656467,16.6,4.4680111,5.788514,7.5674754,11.95,16.6,7.56747535526821
"Colombia","2000-2009",21.994457396736,21.994457396736,21.9944574,21.9944574,21.9944574,21.9944574,21.9944574,21.994457396736
"Colombia","2010-2019",37.5,70,37.5,44.6,50.4,58.1,70,50.95
"Croatia","1960-1969",0,0,0,0,0,0,0,0
"Croatia","1970-1979",0,0,0,0,0,0,0,0
"Croatia","1980-1989",0,22.5531914893617,0,0,0,1.5,22.5531915,0
"Croatia","1990-1999",1.9,32.54,1.9,3.9,8,22.865,32.54,8
"Croatia","2000-2009",12.5,84.9,12.5,14.95,20.95,38.04,84.9,24.7
"Croatia","2010-2019",48.3,133.9,48.3,51.3,54.3,94.1,133.9,54.3
"Czech Republic","1960-1969",4.9,21.2,4.9,8,9.1,12.7,21.2,9.1
"Czech Republic","1970-1979",12.2,41.6,12.2,14.2,23.9,29.55,41.6,23.9
"Czech Republic","2000-2009",195.7,203.6,195.7,196.05,196.4,200,203.6,196.4
"Czech Republic","2010-2019",202.1,236.1,202.1,212.975,224.9,230.675,236.1,224.9
"Denmark","1960-1969",12.3,54.4,12.3,22.7,34.8,44.0766551,54.4,34.8
"Denmark","1970-1979",13.5037467025905,117.1,13.5037467,63.6,87.2,107.5,117.1,83.7
"Denmark","1980-1989",26.0151114034206,161.4,26.0151114,59.2852901,97.2251081,146.25,161.4,93.4739697534802
"Denmark","1990-1999",106.708328170707,250.424153914176,106.7083282,135.6214745,176.9828974,202.6137392,250.4241539,170.972423416834
"Denmark","2000-2009",266.887990545931,449.38928475719,266.8879905,299.4080605,338.0015689,374.6104865,449.3892848,338.001568852663
"Denmark","2010-2019",410.7143,603.011301376829,410.7143,498.0499933,545.5140259,578.9976678,603.0113014,545.514025901985
"England","1960-1969",79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9
"England","1990-1999",271.140484663616,271.140484663616,271.1404847,271.1404847,271.1404847,271.1404847,271.1404847,271.140484663616
"England","2000-2009",266.125966290711,266.125966290711,266.1259663,266.1259663,266.1259663,266.1259663,266.1259663,266.125966290711
"Faroe Islands","1960-1969",7.064018,28.256068,7.064018,12.3620305,17.660043,22.9580555,28.256068,17.660043
"Faroe Islands","1970-1979",38.8521,84.76821,38.8521,50.3311275,61.810155,73.2891825,84.76821,61.810155
"Faroe Islands","1980-1989",127.15232,222.51652,127.15232,142.22616,157.3,189.90826,222.51652,157.3
"Faroe Islands","1990-1999",293.15671,388.52099,293.15671,316.99778,340.83885,364.67992,388.52099,340.83885
"Faroe Islands","2000-2009",498.01321,565.12143,498.01321,514.790265,531.56732,548.344375,565.12143,531.56732
"Faroe Islands","2010-2019",660.4857,1119.6468,660.4857,785.87195,966.0044,1014.5695,1119.6468,966.0044
"Finland","1980-1989",128,128,128,128,128,128,128,128
"Finland","1990-1999",177.708742213289,336.363636363636,177.7087422,217.3724658,257.0361893,296.6999128,336.3636364,257.036189288462
"France","2000-2009",84,145.905222896397,84,99.4763057,114.9526114,130.4289172,145.9052229,114.952611448198
"France","2010-2019",126,191.097448951919,126,142.2743622,158.5487245,174.8230867,191.097449,158.54872447596
"Germany","1970-1979",48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8
"Germany","1980-1989",24.8,27.3,24.8,25.425,26.05,26.675,27.3,26.05
"Greece","1980-1989",3.6,4.5,3.6,3.825,4.05,4.275,4.5,4.05
"Greece","1990-1999",6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
"Hong Kong","1980-1989",0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
"Hong Kong","1990-1999",2.05420217868683,5.46,2.0542022,2.2675,2.5474558,2.7725,5.46,2.56033627176084
"Hong Kong","2000-2009",3.69599470889179,26.5,3.6959947,4.9164549,5.6536976,6.7606742,26.5,6.17629824460747
"Hong Kong","2010-2019",21.48,25.37,21.48,22.4525,23.425,24.3975,25.37,23.425
"Hungary","1990-1999",62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1
"Hungary","2000-2009",152.9,222.9,152.9,170.4,187.9,205.4,222.9,187.9
"Hungary","2010-2019",283.51,368.712282885932,283.51,309.22,330.5457237,349.6541563,368.7122829,317.79
"Iceland","1950-1959",8.4,31,8.4,13.725,23.1,30.775,31,15.5
"Iceland","1960-1969",48.2,63,48.2,55.4,62.6,62.8,63,55.5
"Iceland","1970-1979",80.3,122.2,80.3,101.15,122,122.1,122.2,101.2
"India","1980-1989",45.5145418961358,45.5145418961358,45.5145419,45.5145419,45.5145419,45.5145419,45.5145419,45.5145418961358
"Iran","2000-2009",31.4363283366481,31.4363283366481,31.4363283,31.4363283,31.4363283,31.4363283,31.4363283,31.4363283366481
"Israel","1970-1979",56.9070482421449,56.9070482421449,56.9070482,56.9070482,56.9070482,56.9070482,56.9070482,56.9070482421449
"Israel","1980-1989",44.58,89,44.58,59.0120621,70.5241242,76.375,89,64.1580414098241
"Israel","1990-1999",70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5
"Israel","2000-2009",103.569596837707,188.7324,103.5695968,133.25,161.8272574,169.7183,188.7324,151.34435
"Israel","2010-2019",195.7746,252.221945289791,195.7746,209.85915,221.4716644,227.8169,252.2219453,219.7183
"Italy","1980-1989",47.6923076923077,47.6923076923077,47.6923077,47.6923077,47.6923077,47.6923077,47.6923077,47.6923076923077
"Italy","1990-1999",118.727272727273,118.727272727273,118.7272727,118.7272727,118.7272727,118.7272727,118.7272727,118.727272727273
"Italy","2000-2009",32,213.571428571429,32,78,124,168.7857143,213.5714286,124
"Italy","2010-2019",33,277.24,33,182.12,237.8,267.18,277.24,237.8
"Japan","1970-1979",0.716996614690698,3.1052298299621,0.7169966,1.4189053,1.755672,2.4361572,3.1052298,1.75567200932638
"Japan","1980-1989",3.42225823515263,16.5768546145042,3.4222582,4.3827506,7.5424494,10.8612323,16.5768546,8.04736445618287
"Japan","1990-1999",18.12,47.5032358457514,18.12,20.6564066,29.1099482,36.2969932,47.5032358,30.8513542784784
"Japan","2000-2009",51.8560528855989,94.0981024213132,51.8560529,54.7827415,62.9728945,73.4853116,94.0981024,63.2911362673713
"Japan","2010-2019",97.8720250397789,171.403096061805,97.872025,116.9420224,129.4798808,133.8616592,171.4030961,129.15640997427
"Kazakhstan","2010-2019",79.6150784035446,79.6150784035446,79.6150784,79.6150784,79.6150784,79.6150784,79.6150784,79.6150784035446
"Kuwait","1990-1999",41.7278289983672,41.7278289983672,41.727829,41.727829,41.727829,41.727829,41.727829,41.7278289983672
"Malaysia","2010-2019",2.41,15.67,2.41,4.745,7.08,11.375,15.67,7.08
"Mexico","2000-2009",0.23,0.47,0.23,0.29,0.35,0.41,0.47,0.35
"Mexico","2010-2019",0.83,27.1298822432631,0.83,1.295,1.5845312,8.0717673,27.1298822,1.71906232387125
"Netherlands","1980-1989",58.4336596068802,58.4336596068802,58.4336596,58.4336596,58.4336596,58.4336596,58.4336596,58.4336596068802
"Netherlands","2000-2009",162.4,244.8,162.4,185.525,207.1,225.675,244.8,207.1
"Netherlands","2010-2019",231.396314078687,499,231.3963141,298.2972356,365.198157,432.0990785,499,365.198157039344
"New Zealand","2000-2009",153.034644438656,153.034644438656,153.0346444,153.0346444,153.0346444,153.0346444,153.0346444,153.034644438656
"New Zealand","2010-2019",112.442476339324,211.004896246211,112.4424763,147.1356191,182.6012126,207.628043,211.0048962,182.60121260145
"Norway","1980-1989",92,92,92,92,92,92,92,92
"Norway","1990-1999",505,505,505,505,505,505,505,505
"Norway","2010-2019",256,501.25332211549,256,342,428,464.6266611,501.2533221,360.313330528872
"Poland","2010-2019",78.8848600982806,178.453401080332,78.8848601,114.3323719,129.3134298,155.9181237,178.4534011,134.506078930877
"Portugal","2000-2009",42,70.8,42,49.2,56.4,63.6,70.8,56.4
"Puerto Rico","2000-2009",20.4360983240797,24.1226101786195,20.4360983,22.2392835,23.0807699,23.5215485,24.1226102,23.0807698719018
"Puerto Rico","2010-2019",90.7707207208728,90.7707207208728,90.7707207,90.7707207,90.7707207,90.7707207,90.7707207,90.7707207208728
"Romania","2000-2009",1.87573326999162,1.87573326999162,1.8757333,1.8757333,1.8757333,1.8757333,1.8757333,1.87573326999162
"Russia","2010-2019",47.2293781886144,47.2293781886144,47.2293782,47.2293782,47.2293782,47.2293782,47.2293782,47.2293781886144
"San Marino","2010-2019",320.160995243322,320.160995243322,320.1609952,320.1609952,320.1609952,320.1609952,320.1609952,320.160995243322
"Saudi Arabia","2010-2019",32.75,32.75,32.75,32.75,32.75,32.75,32.75,32.75
"Scotland","2000-2009",351,372,351,356.25,361.5,366.75,372,361.5
