"figure","disease","data_type","country","year","decrease2percent","decrease1percent","no_change","increase1percent","increase2percent"
"5A","IBD","Prevalence","Canada",2014,0.645285550003272,0.645285550003272,0.645285550003272,0.645285550003272,0.645285550003272
"5A","IBD","Prevalence","Canada",2015,0.664134369317605,0.664134369317605,0.664134369317605,0.664134369317605,0.664134369317605
"5A","IBD","Prevalence","Canada",2016,0.682094681610023,0.682094681610023,0.682094681610023,0.682094681610023,0.682094681610023
"5A","IBD","Prevalence","Canada",2017,0.69980289929751,0.69980289929751,0.69980289929751,0.69980289929751,0.69980289929751
"5A","IBD","Prevalence","Canada",2018,0.7165881520716,0.7165881520716,0.7165881520716,0.7165881520716,0.7165881520716
"5A","IBD","Prevalence","Canada",2019,0.733685474656568,0.733685474656568,0.733685474656568,0.733685474656568,0.733685474656568
"5A","IBD","Prevalence","Canada",2020,0.750454353249096,0.750454353249096,0.750454353249096,0.750454353249096,0.750454353249096
"5A","IBD","Prevalence","Canada",2021,0.766760305028131,0.766760305028131,0.766760305028131,0.766760305028131,0.766760305028131
"5A","IBD","Prevalence","Canada",2022,0.782487666953672,0.782487666953672,0.782487666953672,0.782487666953672,0.782487666953672
"5A","IBD","Prevalence","Canada",2023,0.797889583870737,0.797889583870737,0.797889583870737,0.797889583870737,0.797889583870737
"5A","IBD","Prevalence","Canada",2024,0.813094437279719,0.813094437279719,0.813094437279719,0.813094437279719,0.813094437279719
"5A","IBD","Prevalence","Canada",2025,0.82792574835446,0.828064274662174,0.828202386336883,0.82834003829225,0.828477195708859
"5A","IBD","Prevalence","Canada",2026,0.841850918311105,0.842397502275578,0.842945967319954,0.84349626787434,0.844048345772358
"5A","IBD","Prevalence","Canada",2027,0.854892149176068,0.856104577904276,0.857329553783277,0.858566804612325,0.859816309089827
"5A","IBD","Prevalence","Canada",2028,0.867124157422787,0.869249824006457,0.871411500646673,0.873609598744719,0.87584452861125
"5A","IBD","Prevalence","Canada",2029,0.878588939307234,0.881863998090753,0.88521726191976,0.8886498002567,0.892163153991178
"5A","IBD","Prevalence","Canada",2030,0.889449923299094,0.894101274741553,0.898895341281447,0.903835745761384,0.90892647331055
"5A","IBD","Prevalence","Canada",2031,0.899690808701665,0.905934983145629,0.912413945069529,0.919135825871068,0.92610890855834
"5A","IBD","Prevalence","Canada",2032,0.90919034178739,0.91723509766653,0.925638410600164,0.934415575699259,0.94358196280264
"5A","IBD","Prevalence","Canada",2033,0.91811118018977,0.928154328033288,0.938715806872494,0.949821426579755,0.961497949383516
"5A","IBD","Prevalence","Canada",2034,0.926451886555014,0.938680944733918,0.951627066833012,0.965331922580695,0.979839169293746
"5A","IBD","Prevalence","Canada",2035,0.934214669798267,0.948806635668565,0.964358112876748,0.980932249977755,0.998596007845998
"5A","IBD","Prevalence","Canada",2036,0.941180643534388,0.958307040468645,0.97668182380435,0.996397392828846,1.01755245442795
