country,year,ahdi,percent_urban,western_diet_index,obesity,UHC_index,predicted_stage
Australia,1950,0.50385654,77.003,,,,
Australia,1951,,77.489,,,,
Australia,1952,,77.967,,,,
Australia,1953,,78.438,,,,
Australia,1954,,78.901,,,,
Australia,1955,0.523043025,79.357,,,,
Australia,1956,,79.807,,,,
Australia,1957,,80.248,,,,
Australia,1958,,80.682,,,,
Australia,1959,,81.109,,,,
Australia,1960,0.539252923,81.529,,,,
Australia,1961,,81.941,0.587846348,,,
Australia,1962,,82.228,0.587406015,,,
Australia,1963,,82.511,0.576781327,,,
Australia,1964,,82.792,0.583281734,,,
Australia,1965,0.546398388,83.068,0.589381087,,,
Australia,1966,,83.34,0.570987654,,,
Australia,1967,,83.507,0.563636364,,,
Australia,1968,,83.672,0.570850202,,,
Australia,1969,,83.836,0.576935033,,,
Australia,1970,0.568295162,83.999,0.572265023,,,
Australia,1971,,84.16,0.577275504,,,
Australia,1972,,84.32,0.588821752,,,
Australia,1973,,84.478,0.594654088,,,
Australia,1974,,84.636,0.575267077,,,
Australia,1975,0.607860882,84.792,0.584329767,10.5,,
Australia,1976,,84.947,0.59360301,10.8,,
Australia,1977,,85.1,0.585211044,11,,
Australia,1978,,85.252,0.595545513,11.3,,
Australia,1979,,85.403,0.583495146,11.6,,
Australia,1984,,85.611,0.560467319,13.1,,Stage 2
Australia,1985,0.672361945,85.582,0.566666667,13.5,,Stage 2
Australia,1988,,85.493,0.580331976,14.5,,Stage 2
Australia,1989,,85.463,0.587741133,14.9,,Stage 2
Australia,1987,,85.522,0.575804939,14.2,,Stage 2
Australia,1986,,85.552,0.580328906,13.8,,Stage 2
Australia,1983,,85.641,0.576602564,12.8,,Stage 2
Australia,1981,,85.7,0.575555556,12.2,,Stage 2
Australia,1980,0.64559194,85.552,0.583042236,11.9,,Stage 2
Australia,1982,,85.67,0.576233889,12.5,,Stage 2
Australia,1997,,84.636,0.584775087,18.6,,Stage 3
Australia,1990,0.708154969,85.433,0.585148819,15.3,,Stage 3
Australia,1999,,84.37,0.5885585,19.7,,Stage 3
Australia,1996,,84.767,0.579314721,18.1,,Stage 3
Australia,1991,,85.403,0.5890625,15.7,,Stage 3
Australia,1993,,85.157,0.596995845,16.6,,Stage 3
Australia,1995,0.733240161,84.898,0.582704403,17.6,,Stage 3
Australia,1992,,85.285,0.604680187,16.2,,Stage 3
Australia,1994,,85.028,0.589285714,17.1,,Stage 3
Australia,1998,,84.503,0.591408269,19.1,,Stage 3
Australia,2003,,84.343,0.563283208,21.8,,Stage 3
Australia,2002,,84.222,0.567362429,21.3,,Stage 3
Australia,2006,,84.7,0.590979302,23.5,,Stage 3
Australia,2009,,85.063,0.573820396,25.1,,Stage 3
Australia,2000,0.758349756,84.235,0.586397657,20.2,81.15,Stage 3
Australia,2001,,84.1,0.584262504,20.7,,Stage 3
Australia,2005,0.791752222,84.582,0.584615385,22.9,82.64,Stage 3
Australia,2004,,84.463,0.578544061,22.4,,Stage 3
Australia,2008,,84.943,0.570121951,24.6,,Stage 3
Australia,2007,,84.822,0.584221748,24,,Stage 3
Australia,2014,,85.602,0.596546763,27.9,,Stage 3
Australia,2013,,85.502,0.583404864,27.3,,Stage 3
Australia,2018,,86.012,0.595024588,,,Stage 3
Australia,2019,,86.124,0.596258993,,86.9,Stage 3
Australia,2012,,85.402,0.597261837,26.7,,Stage 3
Australia,2011,,85.3,0.603762663,26.2,,Stage 3
Australia,2015,0.829835801,85.701,0.597750865,28.4,87.25,Stage 3
Australia,2017,,85.904,0.590503597,,87.41,Stage 3
Australia,2010,0.814875352,85.182,0.591521054,25.6,84.05,Stage 3
Australia,2016,,85.8,0.594911378,29,,Stage 3
Australia,2020,0.84790267,86.241,,,,
Australia,2021,,86.362,,,86.78,
Australia,2022,,86.488,,,,
Australia,2023,,86.617,,,,
Australia,2024,,86.75,,,,
Australia,2025,,86.887,,,,
Australia,2026,,87.028,,,,
Australia,2027,,87.172,,,,
Australia,2028,,87.319,,,,
Australia,2029,,87.47,,,,
Australia,2030,,87.623,,,,
Austria,1950,0.389720577,63.596,,,,
Austria,1951,,63.709,,,,
Austria,1952,,63.822,,,,
Austria,1953,,63.935,,,,
Austria,1954,,64.047,,,,
Austria,1955,0.422332352,64.16,,,,
Austria,1956,,64.272,,,,
Austria,1957,,64.384,,,,
Austria,1958,,64.496,,,,
Austria,1959,,64.608,,,,
Austria,1960,0.456071534,64.72,,,,
Austria,1961,,64.814,0.48465512,,,
Austria,1962,,64.863,0.49848393,,,
Austria,1963,,64.913,0.494626866,,,
Austria,1964,,64.962,0.499408284,,,
Austria,1965,0.47857294,65.011,0.51243932,,,
Austria,1966,,65.061,0.505256834,,,
Austria,1967,,65.11,0.510179277,,,
Austria,1968,,65.159,0.519527702,,,
Austria,1969,,65.208,0.512623153,,,
Austria,1970,0.503821337,65.258,0.523910412,,,
Austria,1971,,65.301,0.531664656,,,
Austria,1972,,65.311,0.539069626,,,
Austria,1973,,65.321,0.543042453,,,
Austria,1974,,65.331,0.555319149,,,
Austria,1975,0.532610738,65.341,0.540958269,7.2,,
Austria,1976,,65.351,0.560083908,7.3,,
Austria,1977,,65.361,0.562252664,7.5,,
Austria,1978,,65.371,0.562198068,7.7,,
Austria,1979,,65.381,0.561191389,7.9,,
