"figure","disease","country","data_type","year","percent_prevalence","CDA"
"4","IBD","Canada","obs",2002,0.391332651185906,
"4","IBD","Canada","obs",2003,0.417074980878502,
"4","IBD","Canada","obs",2004,0.44036973506293,
"4","IBD","Canada","obs",2005,0.463345145057783,
"4","IBD","Canada","obs",2006,0.484906976368964,
"4","IBD","Canada","obs",2007,0.505603524634049,
"4","IBD","Canada","obs",2008,0.526771351781009,
"4","IBD","Canada","obs",2009,0.54764550925127,
"4","IBD","Canada","obs",2010,0.567907186159203,
"4","IBD","Canada","obs",2011,0.588949144419009,
"4","IBD","Canada","obs",2012,0.606939862754844,
"4","IBD","Canada","obs",2013,0.6263687384131,
"4","IBD","Canada","obs",2014,0.645285550003272,
"4","IBD","Canada","model",2015,0.664134369317605,0.0184045658033756
"4","IBD","Canada","model",2016,0.682094681610023,0.0178342649899524
"4","IBD","Canada","model",2017,0.69980289929751,0.0172467352307885
"4","IBD","Canada","model",2018,0.7165881520716,0.0169412876795288
"4","IBD","Canada","model",2019,0.733685474656568,0.016933100588748
"4","IBD","Canada","model",2020,0.750454353249096,0.0165374151857817
"4","IBD","Canada","model",2021,0.766760305028131,0.0160166568522881
"4","IBD","Canada","model",2022,0.782487666953672,0.0155646394213032
"4","IBD","Canada","model",2023,0.797889583870737,0.0153033851630231
"4","IBD","Canada","model",2024,0.813094437279719,0.0151564012330726
"4","IBD","Canada","model",2025,0.828202386336883,0.0149257650201177
"4","IBD","Canada","model",2026,0.842945967319954,0.0145635837231971
"4","IBD","Canada","model",2027,0.857329553783277,0.0142327666633594
"4","IBD","Canada","model",2028,0.871411500646673,0.0139438540682415
"4","IBD","Canada","model",2029,0.88521726191976,0.013741920317387
"4","IBD","Canada","model",2030,0.898895341281447,0.0135983415748847
"4","IBD","Canada","model",2031,0.912413945069529,0.0133715346593586
"4","IBD","Canada","model",2032,0.925638410600164,0.0131509309014821
"4","IBD","Canada","model",2033,0.938715806872494,0.012994328116424
"4","IBD","Canada","model",2034,0.951627066833012,0.0128211530021274
"4","IBD","Canada","model",2035,0.964358112876748,0.012527378485669
"4","IBD","Canada","model",2036,0.97668182380435,0.0121435232616043
"4","IBD","Canada","model",2037,0.988645159399957,0.0118197020993932
"4","IBD","Canada","model",2038,1.00032122800314,0.0115039667677124
"4","IBD","Canada","model",2039,1.01165309293538,0.0111679683277757
"4","IBD","Canada","model",2040,1.02265716465869,0.0108360546609025
"4","IBD","Canada","model",2041,1.03332520225719,0.0104447283280268
"4","IBD","Canada","model",2042,1.04354662131474,0.0100903132518882
"4","IBD","Canada","model",2043,1.05350582876096,
"4","IBD","Denmark","obs",2002,0.493934093469972,
"4","IBD","Denmark","obs",2003,0.523326666407937,
"4","IBD","Denmark","obs",2004,0.555662813361359,
"4","IBD","Denmark","obs",2005,0.587990696691499,
"4","IBD","Denmark","obs",2006,0.618139742632335,
"4","IBD","Denmark","obs",2007,0.647242943760381,
"4","IBD","Denmark","obs",2008,0.675317555783812,
"4","IBD","Denmark","obs",2009,0.708292695160293,
"4","IBD","Denmark","obs",2010,0.739842843978524,
"4","IBD","Denmark","obs",2011,0.770504766856231,
"4","IBD","Denmark","obs",2012,0.801823676332582,
"4","IBD","Denmark","obs",2013,0.832734743843395,
"4","IBD","Denmark","obs",2014,0.861547177751101,
"4","IBD","Denmark","obs",2015,0.88972709907447,
"4","IBD","Denmark","obs",2016,0.917631958810652,
"4","IBD","Denmark","obs",2017,0.943834379880302,
