"figure","group","percentile25","median","percentile75"
"2A","CDincstage1",0.01,0.158,0.371360895411687
"2A","CDincstage2",1,2.3380530831572,4.22264844811478
"2A","CDincstage3",6.8975,10.2648075946817,13.6960007344175
"2A","UCincstage1",0.14,0.382581705313128,0.792487071929233
"2A","UCincstage2",2.32653911676566,4.2,6.4136853449903
"2A","UCincstage3",11.1602083333333,15.0068083901412,20.4248861991579
"2B","CDprevstage1",0.25375,1.0936502721186,2.45865758754864
"2B","CDprevstage2",8.90262507851947,18.63,33.8539386398418
"2B","CDprevstage3",165.067371395659,234.182510559813,289.107351923271
"2B","UCprevstage1",0.87,3.54423744670923,7.975
"2B","UCprevstage2",22.2882978723404,43.0554094462804,66.6204581029767
"2B","UCprevstage3",197.791043818495,266.125966290711,370.983190956219
