age,year,Dis,Data_type,IBD_numerator,Population_denominator,rate
less than 10,3018,IBD,Prevalence,444,3597527,12.33903178
10 to 17,3018,IBD,Prevalence,3417,3272886,104.3925758
18 to 24,3018,IBD,Prevalence,9528,2909287,327.4943311
25 to 34,3018,IBD,Prevalence,24443,4183684,584.2518221
35 to 44,3018,IBD,Prevalence,34124,5108130,668.032137
45 to 54,3018,IBD,Prevalence,28392,4447690,638.3617114
55 to 64,3018,IBD,Prevalence,18033,2988470,603.4241602
65 to 79,3018,IBD,Prevalence,16016,2912526,549.9023871
80+,3018,IBD,Prevalence,4240,953088,444.8749748
less than 10,3019,IBD,Prevalence,546,3540733,15.42759649
10 to 17,3019,IBD,Prevalence,3327,3289353,101.1429907
18 to 24,3019,IBD,Prevalence,9930,2954595,336.0951332
25 to 34,3019,IBD,Prevalence,25493,4181821,609.6195892
35 to 44,3019,IBD,Prevalence,35756,5056887,707.0713662
45 to 54,3019,IBD,Prevalence,31194,4552459,685.2066103
55 to 64,3019,IBD,Prevalence,20415,3143380,649.4537727
65 to 79,3019,IBD,Prevalence,17333,2940846,589.3814229
80+,3019,IBD,Prevalence,4766,994792,479.054918
less than 10,3020,IBD,Prevalence,488,3499542,13.93325184
10 to 17,3020,IBD,Prevalence,3393,3303905,102.6815238
18 to 24,3020,IBD,Prevalence,10444,2991335,349.1518001
25 to 34,3020,IBD,Prevalence,25950,4189100,619.4588336
35 to 44,3020,IBD,Prevalence,37075,5006164,740.584008
45 to 54,3020,IBD,Prevalence,34109,4661910,731.6529062
55 to 64,3020,IBD,Prevalence,22512,3288152,684.6520477
65 to 79,3020,IBD,Prevalence,18705,2974225,628.8949222
80+,3020,IBD,Prevalence,5569,1035666,537.765071
less than 10,3021,IBD,Prevalence,695,3465455,20.04354407
10 to 17,3021,IBD,Prevalence,3663,3325350,110.1463004
18 to 24,3021,IBD,Prevalence,10588,3010071,351.7541613
25 to 34,3021,IBD,Prevalence,26889,4204144,639.5903661
35 to 44,3021,IBD,Prevalence,38312,4953740,773.4005014
45 to 54,3021,IBD,Prevalence,37268,4778834,779.8565508
55 to 64,3021,IBD,Prevalence,25044,3430948,729.9309112
65 to 79,3021,IBD,Prevalence,20156,3007539,670.1841605
80+,3021,IBD,Prevalence,6032,1076425,560.3502334
less than 10,3022,IBD,Prevalence,574,3446502,16.6502152
10 to 17,3022,IBD,Prevalence,3700,3336487,110.8815949
18 to 24,3022,IBD,Prevalence,10608,3025955,350.5537921
25 to 34,3022,IBD,Prevalence,27779,4229585,656.7878409
35 to 44,3022,IBD,Prevalence,39183,4889272,801.4035627
45 to 54,3022,IBD,Prevalence,40046,4898618,817.5050596
55 to 64,3022,IBD,Prevalence,27624,3569000,774.0025217
65 to 79,3022,IBD,Prevalence,21758,3063013,710.3463159
80+,3022,IBD,Prevalence,6629,1123115,590.1977981
less than 10,3023,IBD,Prevalence,582,3451095,16.86131503
less than 10,3023,IBD,Incidence Sensitivity,268,3450995,7.764427361
10 to 17,3023,IBD,Prevalence,3977,3312544,120.0497261
10 to 17,3023,IBD,Incidence Sensitivity,797,3312825,24.05650766
18 to 24,3023,IBD,Prevalence,10748,3052598,352.0902523
18 to 24,3023,IBD,Incidence Sensitivity,1262,3052533,41.32797254
